"filename", "language", "YAML", "TypeScript", "JSON with Comments", "JSON", "TypeScript JSX", "Markdown", "comment", "blank", "total"
"c:\Users\chris\Desktop\RO-Nation.live\src\app\company\invoices\[slug]\[invoiceid]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 49, 0, 7, 6, 62
"c:\Users\chris\Desktop\RO-Nation.live\src\app\company\invoices\[slug]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 148, 0, 7, 15, 170
"c:\Users\chris\Desktop\RO-Nation.live\src\app\company\invoices\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 17, 0, 15, 3, 35
"c:\Users\chris\Desktop\RO-Nation.live\src\app\company\invoices\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 95, 0, 5, 8, 108
"c:\Users\chris\Desktop\RO-Nation.live\src\app\contact\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 2, 0, 0, 0, 2
"c:\Users\chris\Desktop\RO-Nation.live\src\app\docs\(reader)\api\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 24, 0, 0, 1, 25
"c:\Users\chris\Desktop\RO-Nation.live\src\app\docs\(reader)\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 4, 0, 4, 0, 8
"c:\Users\chris\Desktop\RO-Nation.live\src\app\docs\login\page.tsx", "TypeScript JSX", 0, 0, 0, 0, -105, 0, -11, -14, -130
"c:\Users\chris\Desktop\RO-Nation.live\src\app\events\[slug]\checkout\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\chris\Desktop\RO-Nation.live\src\app\events\[slug]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 39, 0, 10, 3, 52
"c:\Users\chris\Desktop\RO-Nation.live\src\app\events\[slug]\reserve\page.tsx", "TypeScript JSX", 0, 0, 0, 0, -6, 0, 4, -1, -3
"c:\Users\chris\Desktop\RO-Nation.live\src\app\events\[slug]\seats\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\chris\Desktop\RO-Nation.live\src\app\files\[id]\route.ts", "TypeScript", 0, -36, 0, 0, 0, 0, -19, -6, -61
"c:\Users\chris\Desktop\RO-Nation.live\src\app\files\survey\[id]\route.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 18, 6, 42
"c:\Users\chris\Desktop\RO-Nation.live\src\app\hub\page.tsx", "TypeScript JSX", 0, 0, 0, 0, -12, 0, 37, 5, 30
"c:\Users\chris\Desktop\RO-Nation.live\src\app\legal\data-request\request\new\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 2, 0, 0, 0, 2
"c:\Users\chris\Desktop\RO-Nation.live\src\app\login\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 176, 0, 109, 23, 308
"c:\Users\chris\Desktop\RO-Nation.live\src\app\p\[slug]\events\[event]\checkout\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\chris\Desktop\RO-Nation.live\src\app\p\[slug]\events\[event]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 35, 0, 7, 4, 46
"c:\Users\chris\Desktop\RO-Nation.live\src\app\p\[slug]\events\[event]\reserve\page.tsx", "TypeScript JSX", 0, 0, 0, 0, -4, 0, 2, 0, -2
"c:\Users\chris\Desktop\RO-Nation.live\src\app\p\[slug]\events\[event]\seats\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\chris\Desktop\RO-Nation.live\src\app\p\[slug]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 2, 0, 0, 0, 2
"c:\Users\chris\Desktop\RO-Nation.live\src\app\p\[slug]\tickets\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 12, 0, 3, 2, 17
"c:\Users\chris\Desktop\RO-Nation.live\src\app\p\[slug]\tickets\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 5, 0, 7, 0, 12
"c:\Users\chris\Desktop\RO-Nation.live\src\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\chris\Desktop\RO-Nation.live\src\app\portal\page.tsx", "TypeScript JSX", 0, 0, 0, 0, -46, 0, -13, -8, -67
"c:\Users\chris\Desktop\RO-Nation.live\src\app\pp\[slug]\(portal)\analytics\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 17, 0, 3, 5, 25
"c:\Users\chris\Desktop\RO-Nation.live\src\app\pp\[slug]\(portal)\announce\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 25, 0, 1, 6, 32
"c:\Users\chris\Desktop\RO-Nation.live\src\app\pp\[slug]\(portal)\audit\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 6, 0, 0, 0, 6
"c:\Users\chris\Desktop\RO-Nation.live\src\app\pp\[slug]\(portal)\comp\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 36, 0, 0, 6, 42
"c:\Users\chris\Desktop\RO-Nation.live\src\app\pp\[slug]\(portal)\feedback\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 36, 0, 1, 6, 43
