"filename", "language", "YAML", "Markdown", "TypeScript", "JSON", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\chris\Desktop\RO-Nation.live\src\app\legal\data-requests\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\chris\Desktop\RO-Nation.live\src\app\legal\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 6, 0, 0, 6
"c:\Users\chris\Desktop\RO-Nation.live\src\app\legal\partners\assets\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 80, 0, 4, 84
"c:\Users\chris\Desktop\RO-Nation.live\src\app\legal\partners\merchandise\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 84, 4, 5, 93
"c:\Users\chris\Desktop\RO-Nation.live\src\app\legal\partners\ticketing\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 78, 2, 5, 85
"c:\Users\chris\Desktop\RO-Nation.live\src\app\legal\payments\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 166, 26, 5, 197
"c:\Users\chris\Desktop\RO-Nation.live\src\app\legal\privacy\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 17, 0, 0, 17
"c:\Users\chris\Desktop\RO-Nation.live\src\app\legal\roblox\privacy\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 14, 0, 0, 14
"c:\Users\chris\Desktop\RO-Nation.live\src\app\legal\terms\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 33, 0, 0, 33
"c:\Users\chris\Desktop\RO-Nation.live\src\app\login\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 9, 24, 1, 34
"c:\Users\chris\Desktop\RO-Nation.live\src\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, -1, 0, 1, 0
"c:\Users\chris\Desktop\RO-Nation.live\src\app\partner\access\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 100, 37, 11, 148
"c:\Users\chris\Desktop\RO-Nation.live\src\app\partner\hub\accounting\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 9, 22, 4, 35
"c:\Users\chris\Desktop\RO-Nation.live\src\app\partner\hub\documents\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 41, 4, 6, 51
"c:\Users\chris\Desktop\RO-Nation.live\src\app\partner\hub\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 23, 9, 4, 36
"c:\Users\chris\Desktop\RO-Nation.live\src\app\partner\hub\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 342, 29, 14, 385
"c:\Users\chris\Desktop\RO-Nation.live\src\app\partner\invite\[code]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 212, 37, 20, 269
"c:\Users\chris\Desktop\RO-Nation.live\src\app\partner\join\new\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 122, 22, 10, 154
"c:\Users\chris\Desktop\RO-Nation.live\src\app\partner\join\thanks\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 59, 10, 6, 75
"c:\Users\chris\Desktop\RO-Nation.live\src\app\partner\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 26, 37, 3, 66
"c:\Users\chris\Desktop\RO-Nation.live\src\app\partner\onboard\(flow)\[step]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 363, 54, 40, 457
"c:\Users\chris\Desktop\RO-Nation.live\src\app\partner\onboard\(flow)\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 42, 31, 7, 80
"c:\Users\chris\Desktop\RO-Nation.live\src\app\partner\onboard\(flow)\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 9, 11, 3, 23
"c:\Users\chris\Desktop\RO-Nation.live\src\app\partner\onboard\site\[token]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 470, 55, 39, 564
"c:\Users\chris\Desktop\RO-Nation.live\src\app\partner\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 292, 50, 23, 365
"c:\Users\chris\Desktop\RO-Nation.live\src\app\partners\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 11, 13, 1, 25
"c:\Users\chris\Desktop\RO-Nation.live\src\app\pay\(app)\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 10, 4, 35
"c:\Users\chris\Desktop\RO-Nation.live\src\app\pay\(app)\make-payment\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 36, 16, 6, 58
"c:\Users\chris\Desktop\RO-Nation.live\src\app\pay\(app)\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 208, 18, 15, 241
"c:\Users\chris\Desktop\RO-Nation.live\src\app\pay\(app)\request-payment\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 47, 11, 6, 64
"c:\Users\chris\Desktop\RO-Nation.live\src\app\pay\(app)\requests\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 157, 22, 15, 194
"c:\Users\chris\Desktop\RO-Nation.live\src\app\pay\(app)\statements\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 266, 32, 16, 314
"c:\Users\chris\Desktop\RO-Nation.live\src\app\pay\access\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 90, 27, 9, 126
"c:\Users\chris\Desktop\RO-Nation.live\src\app\pay\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 9, 11, 3, 23
"c:\Users\chris\Desktop\RO-Nation.live\src\app\pay\terms\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 28, 28, 5, 61
"c:\Users\chris\Desktop\RO-Nation.live\src\app\robots.ts", "TypeScript", 0, 0, 21, 0, 0, 39, 2, 62
"c:\Users\chris\Desktop\RO-Nation.live\src\app\sitemap.ts", "TypeScript", 0, 0, 1, 0, 0, 3, 0, 4
"c:\Users\chris\Desktop\RO-Nation.live\src\components\accounting\accounting-shell.tsx", "TypeScript JSX", 0, 0, 0, 0, 59, 40, 6, 105
"c:\Users\chris\Desktop\RO-Nation.live\src\components\accounting\accounts-nav.tsx", "TypeScript JSX", 0, 0, 0, 0, 56, 29, 8, 93
"c:\Users\chris\Desktop\RO-Nation.live\src\components\accounting\document-builder.tsx", "TypeScript JSX", 0, 0, 0, 0, 419, 45, 33, 497
"c:\Users\chris\Desktop\RO-Nation.live\src\components\accounting\document-paper.tsx", "TypeScript JSX", 0, 0, 0, 0, 250, 41, 15, 306
"c:\Users\chris\Desktop\RO-Nation.live\src\components\accounting\document-status-badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 37, 4, 4, 45
"c:\Users\chris\Desktop\RO-Nation.live\src\components\accounting\refund-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 144, 14, 13, 171
"c:\Users\chris\Desktop\RO-Nation.live\src\components\accounting\request-status-badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 22, 11, 4, 37
"c:\Users\chris\Desktop\RO-Nation.live\src\components\accounting\share-link.tsx", "TypeScript JSX", 0, 0, 0, 0, 31, 14, 4, 49
"c:\Users\chris\Desktop\RO-Nation.live\src\components\accounting\terms-block.tsx", "TypeScript JSX", 0, 0, 0, 0, 46, 28, 8, 82
"c:\Users\chris\Desktop\RO-Nation.live\src\components\company-nav.tsx", "TypeScript JSX", 0, 0, 0, 0, 27, 45, 3, 75
"c:\Users\chris\Desktop\RO-Nation.live\src\components\company-shell.tsx", "TypeScript JSX", 0, 0, 0, 0, 2, 3, 0, 5
"c:\Users\chris\Desktop\RO-Nation.live\src\components\copy-field.tsx", "TypeScript JSX", 0, 0, 0, 0, 31, 23, 4, 58
"c:\Users\chris\Desktop\RO-Nation.live\src\components\enquiry-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 3, 11, 0, 14
"c:\Users\chris\Desktop\RO-Nation.live\src\components\hub\mark-seen.tsx", "TypeScript JSX", 0, 0, 0, 0, -10, -14, -4, -28
"c:\Users\chris\Desktop\RO-Nation.live\src\components\legal-doc.tsx", "TypeScript JSX", 0, 0, 0, 0, 13, 14, 1, 28
"c:\Users\chris\Desktop\RO-Nation.live\src\components\partner\brief-uploads.tsx", "TypeScript JSX", 0, 0, 0, 0, 144, 27, 15, 186
"c:\Users\chris\Desktop\RO-Nation.live\src\components\partner\join-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 264, 37, 24, 325
"c:\Users\chris\Desktop\RO-Nation.live\src\components\partner\ledger-strip.tsx", "TypeScript JSX", 0, 0, 0, 0, 77, 14, 5, 96
"c:\Users\chris\Desktop\RO-Nation.live\src\components\partner\onboard-rail.tsx", "TypeScript JSX", 0, 0, 0, 0, 72, 17, 6, 95
"c:\Users\chris\Desktop\RO-Nation.live\src\components\partner\partner-nav.tsx", "TypeScript JSX", 0, 0, 0, 0, 53, 21, 6, 80
"c:\Users\chris\Desktop\RO-Nation.live\src\components\partner\partner-shell.tsx", "TypeScript JSX", 0, 0, 0, 0, 64, 12, 8, 84
"c:\Users\chris\Desktop\RO-Nation.live\src\components\partner\programme-shell.tsx", "TypeScript JSX", 0, 0, 0, 0, 36, 30, 6, 72
"c:\Users\chris\Desktop\RO-Nation.live\src\components\partner\timezone-field.tsx", "TypeScript JSX", 0, 0, 0, 0, 45, 17, 5, 67
"c:\Users\chris\Desktop\RO-Nation.live\src\components\pay\pay-nav.tsx", "TypeScript JSX", 0, 0, 0, 0, 45, 9, 5, 59
"c:\Users\chris\Desktop\RO-Nation.live\src\components\pay\pay-shell.tsx", "TypeScript JSX", 0, 0, 0, 0, 68, 25, 8, 101
"c:\Users\chris\Desktop\RO-Nation.live\src\components\pay\request-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 120, 26, 15, 161
"c:\Users\chris\Desktop\RO-Nation.live\src\components\pay\terms-gate.tsx", "TypeScript JSX", 0, 0, 0, 0, 165, 38, 17, 220
"c:\Users\chris\Desktop\RO-Nation.live\src\components\portal-footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 2, 7, 0, 9
"c:\Users\chris\Desktop\RO-Nation.live\src\components\portal\payout-invoice.tsx", "TypeScript JSX", 0, 0, 0, 0, 3, 5, 1, 9
"c:\Users\chris\Desktop\RO-Nation.live\src\components\seen-marker.tsx", "TypeScript JSX", 0, 0, 0, 0, 8, 17, 4, 29
"c:\Users\chris\Desktop\RO-Nation.live\src\components\site-footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 1, 3, 0, 4
"c:\Users\chris\Desktop\RO-Nation.live\src\lib\accounting\documents.ts", "TypeScript", 0, 0, 371, 0, 0, 212, 52, 635
"c:\Users\chris\Desktop\RO-Nation.live\src\lib\accounting\kinds.ts", "TypeScript", 0, 0, 196, 0, 0, 144, 21, 361
"c:\Users\chris\Desktop\RO-Nation.live\src\lib\accounting\lines.ts", "TypeScript", 0, 0, 131, 0, 0, 75, 25, 231
"c:\Users\chris\Desktop\RO-Nation.live\src\lib\accounting\pay-terms.ts", "TypeScript", 0, 0, 65, 0, 0, 114, 12, 191
